model,n_customers,n_facilities,n_price_levels,lambda_budget,fixed_cost,objective_mean,objective_std,runtime_mean,runtime_std,gap_mean,gap_std,gap_percent_mean,gap_percent_std,opened_facilities_mean,served_customers_mean,service_rate_mean,served_demand_mean,revenue_mean,opening_cost_mean,lazy_mean,lazy_std,nodes_mean,nodes_std,best_bound_mean,num_vars_mean,num_constraints_mean,base_constraints_mean,effective_constraints_mean,optimal_cases,total_cases,optimal_rate
BBC,3,2,5,0.5,50,0.0,0.0,0.00033688545227048,0.0005666012892388806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,65.0,65.0,65.0,5,5,100.0
BBC,3,2,5,0.5,100,0.0,0.0,0.00041069984436034005,0.0005623753442023125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,65.0,65.0,65.0,5,5,100.0
BBC,3,2,5,0.5,200,0.0,0.0,0.00050673484802244,0.0007731992375337106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,65.0,65.0,65.0,5,5,100.0
BBC,3,2,5,1.0,50,761.6117261690954,303.69525835784935,0.0008631706237792601,0.0004910160337631402,0.0,0.0,0.0,0.0,1.0,2.2,0.7333333333333333,123.51371037525442,811.6117261690954,50.0,0.0,0.0,1.0,0.0,761.6117261690954,42.0,60.8,60.8,60.8,5,5,100.0
BBC,3,2,5,1.0,100,711.6117261690954,303.69525835784935,0.0015201091766357,0.0017630789179616214,0.0,0.0,0.0,0.0,1.0,2.2,0.7333333333333333,123.51371037525442,811.6117261690954,100.0,0.0,0.0,1.0,0.0,711.6117261690954,42.0,60.8,60.8,60.8,5,5,100.0
BBC,3,2,5,1.0,200,611.6117261690954,303.69525835784935,0.0023491382598876402,0.002431564212550447,0.0,0.0,0.0,0.0,1.0,2.2,0.7333333333333333,123.51371037525442,811.6117261690954,200.0,0.0,0.0,1.0,0.0,611.6117261690954,42.0,60.8,60.8,60.8,5,5,100.0
BBC,3,2,5,1.5,50,2315.232998304654,741.288124164633,0.00299119949340816,0.005582140446821016,0.0,0.0,0.0,0.0,1.4,2.8,0.9333333333333332,150.83943242089074,2385.232998304654,70.0,0.4,0.894427190999916,1.0,0.0,2315.232998304654,42.0,48.0,48.0,48.4,5,5,100.0
BBC,3,2,5,1.5,100,2250.259809995869,752.0266499670248,0.0024318695068358803,0.003401879934351509,0.0,0.0,0.0,0.0,1.2,3.0,1.0,159.45282522671613,2370.259809995869,120.0,0.2,0.447213595499958,1.0,0.0,2250.259809995869,42.0,48.0,48.0,48.2,5,5,100.0
BBC,3,2,5,1.5,200,2130.259809995869,759.6662166848822,0.0030322551727294403,0.002680809177052207,0.0,0.0,0.0,0.0,1.2,3.0,1.0,159.45282522671613,2370.259809995869,240.0,0.0,0.0,1.0,0.0,2130.2598099958695,42.0,48.0,48.0,48.0,5,5,100.0
BBC,5,3,10,0.5,50,151.6947198997856,187.65271368743066,0.00121941566467282,0.0009288452115933817,0.0,0.0,0.0,0.0,0.8,0.8,0.16,52.22693379108999,191.6947198997856,40.0,0.0,0.0,0.6,0.5477225575051662,151.6947198997856,183.0,306.4,306.4,306.4,5,5,100.0
BBC,5,3,10,0.5,100,119.30072160780419,163.3585410411984,0.00108141899108882,0.0008316634765518775,0.0,0.0,0.0,0.0,0.6,0.6,0.12000000000000002,46.02993464509929,179.30072160780418,60.0,0.0,0.0,0.6,0.5477225575051662,119.30072160780419,183.0,306.4,306.4,306.4,5,5,100.0
BBC,5,3,10,0.5,200,61.32490268407444,132.00425166026957,0.0009209632873534801,0.0005416913771117486,0.0,0.0,0.0,0.0,0.4,0.4,0.08,27.042025183234415,141.32490268407446,80.0,0.0,0.0,0.4,0.5477225575051661,61.32490268407444,183.0,306.4,306.4,306.4,5,5,100.0
BBC,5,3,10,1.0,50,1630.1569856790109,661.8619720067978,0.0003242015838623,0.0007249367799292015,0.0,0.0,0.0,0.0,2.2,3.6,0.72,200.85695098783353,1740.1569856790109,110.0,0.2,0.4472135954999579,1.0,0.0,1630.1569856790109,183.0,282.4,282.4,282.6,5,5,100.0
BBC,5,3,10,1.0,100,1520.1569856790109,649.1326192102712,0.00130658149719234,0.0011956914517427275,0.0,0.0,0.0,0.0,2.2,3.6,0.72,200.85695098783353,1740.1569856790109,220.0,0.2,0.4472135954999579,1.0,0.0,1520.1569856790109,183.0,282.4,282.4,282.6,5,5,100.0
BBC,5,3,10,1.0,200,1318.389903781838,646.9375535017316,0.00112781524658198,0.0002685859421368523,0.0,0.0,0.0,0.0,2.0,3.6,0.72,200.85695098783353,1718.389903781838,400.0,0.2,0.4472135954999579,1.0,0.0,1318.389903781838,183.0,282.4,282.4,282.6,5,5,100.0
BBC,5,3,10,1.5,50,4346.60265323541,1115.961885998627,0.00677599906921382,0.005846059936278796,1.516462477666694e-07,3.3909131853904845e-07,1.516462477666694e-05,3.3909131853904846e-05,2.0,4.8,0.96,258.15234331175054,4446.602229576478,100.0,4.8,4.919349550499537,1.0,0.0,4346.603243823985,183.0,217.8,217.8,222.6,5,5,100.0
BBC,5,3,10,1.5,100,4246.60265323541,1112.9877066897636,0.00517110824584958,0.006641457573558086,1.7488456613232995e-05,3.746471238223381e-05,0.0017488456613232797,0.0037464712382233867,2.0,4.8,0.96,258.15234331175054,4446.602229576478,200.0,4.8,5.449770637375485,1.0,0.0,4246.70258238037,183.0,217.8,217.8,222.6,5,5,100.0
BBC,5,3,10,1.5,200,4064.8351476793055,1105.2444753844572,0.00364947319030758,0.0055143220308165675,1.6572224998885642e-05,3.7056621635929675e-05,0.0016572224998885599,0.0037056621635929575,1.8,4.8,0.96,258.15234331175054,4424.835147679305,360.0,3.6,5.8991524815010505,1.0,0.0,4064.927618008211,183.0,217.8,217.8,221.4,5,5,100.0
BBC,10,4,10,0.5,50,612.5757048622911,189.6183874220213,0.0010059833526611,0.0010035780808718333,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,90.0,0.0,0.0,1.0,0.0,612.5757048622911,444.0,806.4,806.4,806.4,5,5,100.0
BBC,10,4,10,0.5,100,522.5757048622911,170.53682752333924,0.00277385711669916,0.001983938942947676,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,180.0,0.0,0.0,1.0,0.0,522.5757048622911,444.0,806.4,806.4,806.4,5,5,100.0
BBC,10,4,10,0.5,200,342.57570486229116,135.41847336357011,0.00111374855041502,0.0011634651215981274,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,360.0,0.0,0.0,1.0,0.0,342.57570486229116,444.0,806.4,806.4,806.4,5,5,100.0
BBC,10,4,10,1.0,50,4590.770038480482,584.3796881634993,0.00502138137817378,0.0034309607935363363,0.0,0.0,0.0,0.0,3.2,6.4,0.64,389.72110959963106,4750.770038480482,160.0,4.0,4.06201920231798,1.0,0.0,4590.770038480482,444.0,743.2,743.2,747.2,5,5,100.0
BBC,10,4,10,1.0,100,4430.770038480482,578.2068717933696,0.0034982681274413597,0.003404528128500422,0.0,0.0,0.0,0.0,3.2,6.4,0.64,389.72110959963106,4750.770038480482,320.0,1.8,2.16794833886788,1.0,0.0,4430.770038480482,444.0,743.2,743.2,745.0,5,5,100.0
BBC,10,4,10,1.0,200,4110.770038480482,568.3047772903948,0.00220365524291986,0.0012689637027703954,0.0,0.0,0.0,0.0,3.2,6.4,0.64,389.72110959963106,4750.770038480482,640.0,0.0,0.0,1.0,0.0,4110.770038480482,444.0,743.2,743.2,743.2,5,5,100.0
BBC,10,4,10,1.5,50,9709.313182591743,1683.8288384374123,0.04334111213684078,0.08161058456499362,0.0,0.0,0.0,0.0,3.4,9.4,0.9400000000000001,514.0415001059035,9879.313182591743,170.0,21.4,42.91619740843776,6.6,12.521980673998822,9709.313182591743,444.0,569.6,569.6,591.0,5,5,100.0
BBC,10,4,10,1.5,100,9539.313182591743,1681.0672970466005,0.03863101005554194,0.07398052069586888,0.0,0.0,0.0,0.0,3.4,9.4,0.9400000000000001,514.0415001059035,9879.313182591743,340.0,21.0,42.02380277890139,6.6,12.521980673998822,9539.313182591743,444.0,569.6,569.6,590.6,5,5,100.0
BBC,10,4,10,1.5,200,9199.313182591743,1679.1076967519766,0.04360718727111814,0.08063682570383864,0.0,0.0,0.0,0.0,3.4,9.4,0.9400000000000001,514.0415001059035,9879.313182591743,680.0,20.6,39.997499921870116,7.6,14.758048651498612,9199.313182591743,444.0,569.6,569.6,590.2,5,5,100.0
BBC,15,5,10,0.5,50,1329.3388994612465,663.6234193991539,0.00216951370239256,0.002427084545432905,0.0,0.0,0.0,0.0,3.8,5.4,0.36,343.44642606261334,1519.3388994612465,190.0,0.2,0.4472135954999579,1.0,0.0,1329.3388994612465,805.0,1501.2,1501.2,1501.4,5,5,100.0
BBC,15,5,10,0.5,100,1139.3388994612465,629.6388044034779,0.00233359336853024,0.00046814595695795504,0.0,0.0,0.0,0.0,3.8,5.4,0.36,343.44642606261334,1519.3388994612465,380.0,0.0,0.0,1.0,0.0,1139.3388994612465,805.0,1501.2,1501.2,1501.2,5,5,100.0
BBC,15,5,10,0.5,200,791.0183963944024,536.3872583947358,0.00260953903198238,0.0011858758624942514,0.0,0.0,0.0,0.0,3.0,4.6,0.30666666666666664,286.509973223639,1391.0183963944023,600.0,0.0,0.0,1.0,0.0,791.0183963944024,805.0,1501.2,1501.2,1501.2,5,5,100.0
BBC,15,5,10,1.0,50,8548.75744043771,2054.291609341652,0.03904428482055658,0.06563944585479596,1.2696395008115176e-09,2.8390002307334526e-09,1.2696395008115174e-07,2.8390002307334524e-07,4.8,11.6,0.7733333333333333,671.5025995532276,8788.757440437708,240.0,10.2,15.205262246998569,4.6,8.049844718999243,8548.757453004919,805.0,1368.2,1368.2,1378.4,5,5,100.0
BBC,15,5,10,1.0,100,8308.75744043771,2043.1652583355144,0.043224573135375935,0.07581740458129868,0.0,0.0,0.0,0.0,4.8,11.6,0.7733333333333333,671.5025995532276,8788.757440437708,480.0,9.6,13.612494260788505,3.4,5.366563145999495,8308.75744043771,805.0,1368.2,1368.2,1377.8,5,5,100.0
BBC,15,5,10,1.0,200,7859.500292554726,2019.541390856661,0.030414915084838845,0.05109271902445396,0.0,0.0,0.0,0.0,4.2,11.4,0.76,664.6457342447844,8699.500292554725,840.0,9.6,17.343586710943043,2.6,3.5777087639996634,7859.500292554725,805.0,1368.2,1368.2,1377.8,5,5,100.0
BBC,15,5,10,1.5,50,15283.266091992928,3691.6799771472797,0.07941141128540033,0.10216194615808374,0.0,0.0,0.0,0.0,3.4,14.4,0.96,809.1073180146731,15453.26609199293,170.0,53.6,55.10716831774248,22.2,47.40464112299554,15283.26609199293,805.0,1089.8,1089.8,1143.4,5,5,100.0
BBC,15,5,10,1.5,100,15113.266091992928,3656.3058188762016,0.08021421432495114,0.10958808188765425,0.0,0.0,0.0,0.0,3.4,14.4,0.96,809.1073180146731,15453.26609199293,340.0,43.0,44.379049111038874,22.2,47.40464112299554,15113.26609199293,805.0,1089.8,1089.8,1132.8,5,5,100.0
BBC,15,5,10,1.5,200,14788.47882291108,3589.982436584141,0.03824214935302728,0.06603332480542332,0.0,0.0,0.0,0.0,3.2,14.4,0.96,809.1073180146731,15428.47882291108,640.0,26.4,31.213779008636553,17.8,37.56594202199647,14788.478822911082,805.0,1089.8,1089.8,1116.2,5,5,100.0
BBC,20,6,10,1.5,50,19459.196293967565,2664.000631272978,0.10267515182495113,0.09896290804321778,0.0,0.0,0.0,0.0,4.4,18.4,0.9199999999999999,993.7570763410133,19679.196293967565,220.0,92.8,76.17545536457264,3.4,5.366563145999495,19459.196293967565,1266.0,1743.0,1743.0,1835.8,5,5,100.0
BBC,20,6,10,1.5,100,19239.196293967565,2671.8784009406872,0.08699584007263182,0.08001870192983809,3.532023702818802e-08,7.897845097643357e-08,3.532023702818802e-06,7.897845097643357e-06,4.4,18.4,0.9199999999999999,993.7570763410133,19679.196293967565,440.0,88.0,71.8192174839019,2.0,2.23606797749979,19239.19695762282,1266.0,1743.0,1743.0,1831.0,5,5,100.0
BBC,20,6,10,1.5,200,18799.196293967565,2688.401726192436,0.045822525024414015,0.031444763221737775,3.628581639052026e-08,8.113755206827935e-08,3.6285816390520267e-06,8.113755206827936e-06,4.4,18.4,0.9199999999999999,993.7570763410133,19679.196293967565,880.0,78.6,60.471480881486606,1.0,0.0,18799.19695762282,1266.0,1743.0,1743.0,1821.6,5,5,100.0
BBC-NoCuts,3,2,5,0.5,50,0.0,0.0,0.00020694732666014,0.0004627482901739275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,65.0,65.0,65.0,5,5,100.0
BBC-NoCuts,3,2,5,0.5,100,0.0,0.0,0.0001948833465576,0.0004357724105854432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,65.0,65.0,65.0,5,5,100.0
BBC-NoCuts,3,2,5,0.5,200,0.0,0.0,0.00019912719726562002,0.0004452619492549366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,65.0,65.0,65.0,5,5,100.0
BBC-NoCuts,3,2,5,1.0,50,761.6117261690954,303.69525835784935,0.00057220458984372,0.000835751920620294,0.0,0.0,0.0,0.0,1.0,2.2,0.7333333333333333,123.51371037525442,811.6117261690954,50.0,0.0,0.0,0.4,0.5477225575051662,761.6117261690954,42.0,60.8,60.8,60.8,5,5,100.0
BBC-NoCuts,3,2,5,1.0,100,711.6117261690954,303.69525835784935,0.00106997489929196,0.0007236119627615844,0.0,0.0,0.0,0.0,1.0,2.2,0.7333333333333333,123.51371037525442,811.6117261690954,100.0,0.0,0.0,0.4,0.5477225575051662,711.6117261690954,42.0,60.8,60.8,60.8,5,5,100.0
BBC-NoCuts,3,2,5,1.0,200,611.6117261690954,303.69525835784935,0.00040454864501951996,0.0009045982704690784,0.0,0.0,0.0,0.0,1.0,2.2,0.7333333333333333,123.51371037525442,811.6117261690954,200.0,0.0,0.0,0.4,0.5477225575051662,611.6117261690954,42.0,60.8,60.8,60.8,5,5,100.0
BBC-NoCuts,3,2,5,1.5,50,2325.601069236638,725.108782484027,0.00189690589904782,0.001635722206686127,0.0,0.0,0.0,0.0,1.4,3.0,1.0,159.45282522671613,2395.601069236638,70.0,0.0,0.0,1.0,0.0,2325.601069236638,42.0,48.0,48.0,48.0,5,5,100.0
BBC-NoCuts,3,2,5,1.5,100,2255.601069236638,743.6768724845574,0.00140905380249018,0.0008497160057335865,0.0,0.0,0.0,0.0,1.4,3.0,1.0,159.45282522671613,2395.601069236638,140.0,0.0,0.0,1.0,0.0,2255.601069236638,42.0,48.0,48.0,48.0,5,5,100.0
BBC-NoCuts,3,2,5,1.5,200,2130.259809995869,759.6662166848822,0.0008141994476318,0.0008503255361942204,0.0,0.0,0.0,0.0,1.2,3.0,1.0,159.45282522671613,2370.259809995869,240.0,0.0,0.0,1.0,0.0,2130.259809995869,42.0,48.0,48.0,48.0,5,5,100.0
BBC-NoCuts,5,3,10,0.5,50,151.6947198997856,187.65271368743066,0.0005940437316894001,0.0005422856289300487,0.0,0.0,0.0,0.0,0.8,0.8,0.16,52.22693379108999,191.6947198997856,40.0,0.0,0.0,0.4,0.5477225575051661,151.6947198997856,183.0,306.4,306.4,306.4,5,5,100.0
BBC-NoCuts,5,3,10,0.5,100,119.30072160780419,163.3585410411984,0.0008542537689208601,0.0007653087840317123,0.0,0.0,0.0,0.0,0.6,0.6,0.12000000000000002,46.02993464509929,179.30072160780418,60.0,0.0,0.0,0.4,0.5477225575051661,119.30072160780419,183.0,306.4,306.4,306.4,5,5,100.0
BBC-NoCuts,5,3,10,0.5,200,61.32490268407444,132.00425166026957,0.0006519794464111,0.0005990045007233784,0.0,0.0,0.0,0.0,0.4,0.4,0.08,27.042025183234415,141.32490268407446,80.0,0.0,0.0,0.2,0.4472135954999579,61.32490268407444,183.0,306.4,306.4,306.4,5,5,100.0
BBC-NoCuts,5,3,10,1.0,50,1630.295859081679,661.7341053311378,0.0019783973693847197,0.00038122739396221695,0.0,0.0,0.0,0.0,2.2,3.8,0.76,216.17146002041636,1740.295859081679,110.0,0.0,0.0,1.0,0.0,1630.295859081679,183.0,282.4,282.4,282.4,5,5,100.0
BBC-NoCuts,5,3,10,1.0,100,1520.295859081679,649.004919340006,0.00165095329284664,0.0009419695479356277,0.0,0.0,0.0,0.0,2.2,3.8,0.76,216.17146002041636,1740.295859081679,220.0,0.0,0.0,1.0,0.0,1520.295859081679,183.0,282.4,282.4,282.4,5,5,100.0
BBC-NoCuts,5,3,10,1.0,200,1318.5287771845062,646.8098945109268,0.0016248226165770999,0.0009145156633868632,0.0,0.0,0.0,0.0,2.0,3.8,0.76,216.17146002041636,1718.5287771845062,400.0,0.0,0.0,1.0,0.0,1318.5287771845062,183.0,282.4,282.4,282.4,5,5,100.0
BBC-NoCuts,5,3,10,1.5,50,4535.742562488599,1325.800050788298,0.00225324630737298,0.00038461703359114985,0.0,0.0,0.0,0.0,2.2,4.8,0.96,258.15234331175054,4645.742562488598,110.0,0.0,0.0,1.0,0.0,4535.742562488599,183.0,217.8,217.8,217.8,5,5,100.0
BBC-NoCuts,5,3,10,1.5,100,4425.742562488598,1329.0587533648873,0.0026595115661620797,0.0025622564247085857,0.0,0.0,0.0,0.0,2.2,4.8,0.96,258.15234331175054,4645.742562488598,220.0,0.0,0.0,1.0,0.0,4425.742562488598,183.0,217.8,217.8,217.8,5,5,100.0
BBC-NoCuts,5,3,10,1.5,200,4227.321665719084,1328.132155563953,0.00130009651184078,0.0013122659739323256,0.0,0.0,0.0,0.0,1.8,4.8,0.96,258.15234331175054,4587.321665719083,360.0,0.0,0.0,1.0,0.0,4227.321665719084,183.0,217.8,217.8,217.8,5,5,100.0
BBC-NoCuts,10,4,10,0.5,50,612.5757048622911,189.6183874220213,0.0027326583862304398,0.003551880856185611,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,90.0,0.0,0.0,1.0,0.0,612.5757048622911,444.0,806.4,806.4,806.4,5,5,100.0
BBC-NoCuts,10,4,10,0.5,100,522.5757048622911,170.53682752333924,0.00253105163574214,0.0029747411447372907,0.0,0.0,0.0,0.0,1.8,2.4,0.24,174.38011372056408,702.5757048622911,180.0,0.0,0.0,1.0,0.0,522.5757048622911,444.0,806.4,806.4,806.4,5,5,100.0
